Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.06     15.46     0.01     5525     0.00     0.00  caml_deserialize_block_8
  0.06     15.47     0.01     4558     0.00     0.00  caml_adjust_gc_speed
  0.06     15.48     0.01     3803     0.00     0.00  camlOmake_build__process_running_1918
  0.06     15.49     0.01     3803     0.00     0.00  camlOmake_exec__wait_1681
  0.06     15.50     0.01     3649     0.00     0.00  camlLm_map__lift_1413
  0.06     15.51     0.01     3356     0.00     0.00  caml_open_descriptor_in
  0.06     15.52     0.01     3151     0.00     0.00  camlOmake_eval__collect_1542
  0.06     15.53     0.01     3151     0.00     0.00  camlOmake_rule__find_alias_of_env_1558
  0.06     15.54     0.01     3150     0.00     0.00  camlOmake_rule__command_line_1901
  0.06     15.55     0.01     2577     0.00     0.00  caml_md5_chan
  0.06     15.56     0.01     2452     0.00     0.00  camlOmake_command_digest__squash_values_1360
  0.06     15.57     0.01     2191     0.00     0.00  camlOmake_eval__eval_apply_string_export_exp_1191
  0.06     15.58     0.01     1966     0.00     0.00  camlOmake_env__venv_add_rule_3013
  0.06     15.59     0.01     1877     0.00     0.00  caml_curry2_1
  0.06     15.60     0.01     1850     0.00     0.00  camlOmake_exec_local__spawn_next_part_1280
  0.06     15.61     0.01     1250     0.00     0.00  camlOmake_rule__eval_shell_1665
  0.06     15.62     0.01     1250     0.00     0.00  camlOmake_shell_job__job_of_pid_1988
  0.06     15.63     0.01     1225     0.00     0.00  camlOmake_builtin_file__search_target_path_aux_1492
  0.06     15.64     0.01     1060     0.00     0.00  caml_fill_string
  0.06     15.65     0.01      902     0.00     0.00  caml_oldify_local_roots
  0.06     15.66     0.01      601     0.00     0.00  caml_ml_out_channels_list
  0.06     15.67     0.01      600     0.00     0.00  camlOmake_build__save_and_finish_scanner_results_1684
  0.06     15.68     0.01      580     0.00     0.00  camlOmake_env__is_multiple_rule_1729
  0.06     15.69     0.01      150     0.00     0.00  write32
  0.06     15.70     0.01       26     0.00     0.00  camlLm_fs_case_sensitive__dir_test_all_entries_exn_1049
  0.06     15.71     0.01        5     0.00     0.01  caml_input_value
  0.06     15.72     0.01        2     0.01     0.01  camlOmake_exec__fun_1822
  0.06     15.73     0.01        2     0.01     0.01  camlOmake_node__MakeNodeOps_2860
  0.06     15.74     0.01        1     0.01     0.04  camlOmake_var__entry
  0.06     15.75     0.01        1     0.01     0.01  caml_realloc_ref_table
  0.06     15.76     0.01                             camlList__rev_map_1054
  0.06     15.77     0.01                             camlLm_filename_util__unescape_string_1068
  0.06     15.78     0.01                             camlLm_set__compare_1463
  0.06     15.79     0.01                             camlLm_string_util__strchr_1052
  0.06     15.80     0.01                             camlLm_string_util__wrap_data_prefix_1333
  0.06     15.81     0.01                             camlOmake_shell_parse__code_end
  0.06     15.82     0.01                             camlOmake_state__code_end
  0.06     15.83     0.01                             caml_execute_signal
  0.06     15.84     0.01                             caml_free_for_heap
  0.06     15.85     0.01                             caml_stat_resize
  0.06     15.86     0.01                             caml_strconcat
  0.06     15.87     0.01                             cst_to_constr
  0.06     15.88     0.01                             unix_read
  0.03     15.89     0.01   223050     0.00     0.00  camlOmake_builtin_file__target_is_buildable_1460
  0.03     15.89     0.01     1804     0.00     0.00  clear_table
  0.03     15.90     0.01     1250     0.00     0.00  camlOmake_builtin_file__fun_2850
  0.03     15.90     0.01     1225     0.00     0.00  camlOmake_builtin_file__fun_2790
  0.03     15.91     0.01                             camlOmake_builtin_file__filter_exists_1453
  0.03     15.91     0.01                             camlOmake_node__reintern_2529
  0.03     15.92     0.01                             camlOmake_var__code_end
  0.03     15.92     0.01                             caml_fl_reset
  0.00     15.92     0.00  1046790     0.00     0.00  camlOmake_node__hash_2822
  0.00     15.92     0.00   893578     0.00     0.00  camlOmake_env__rule_kind_1730
  0.00     15.92     0.00   568719     0.00     0.00  camlOmake_env__patt_search_3138
  0.00     15.92     0.00   563095     0.00     0.00  camlLm_hash__hash_1374
  0.00     15.92     0.00   533896     0.00     0.00  camlOmake_node__path_simplify_3307
  0.00     15.92     0.00   501643     0.00     0.00  writecode32
  0.00     15.92     0.00   496320     0.00     0.00  camlOmake_node__add_filename_2885
  0.00     15.92     0.00   474041     0.00     0.00  camlLm_hash__compare_1376
  0.00     15.92     0.00   413053     0.00     0.00  camlOmake_node__filename_compare_2889
  0.00     15.92     0.00   391588     0.00     0.00  camlFilename__is_dir_sep_1036
  0.00     15.92     0.00   363841     0.00     0.00  camlOmake_env__venv_intern_cd_2524
  0.00     15.92     0.00   340105     0.00     0.00  camlOmake_node__dir_add_string_3402
  0.00     15.92     0.00   323120     0.00     0.00  camlLm_hash_code__add_bits_1057
  0.00     15.92     0.00   323120     0.00     0.00  camlOmake_command_digest__add_code_1124
  0.00     15.92     0.00   311764     0.00     0.00  caml_darken
  0.00     15.92     0.00   297238     0.00     0.00  camlString__fun_1115
  0.00     15.92     0.00   295707     0.00     0.00  camlOmake_node__unsquash_3624
  0.00     15.92     0.00   291732     0.00     0.00  camlLm_set__cardinality_1084
  0.00     15.92     0.00   248173     0.00     0.00  camlOmake_ir_ast__var_scope_of_var_info_1358
  0.00     15.92     0.00   224317     0.00     0.00  writecode16
  0.00     15.92     0.00   223862     0.00     0.00  camlOmake_target__target_is_buildable_1200
  0.00     15.92     0.00   219597     0.00     0.00  camlOmake_env__node_set_of_list_2543
  0.00     15.92     0.00   210363     0.00     0.00  caml_process_pending_signals
  0.00     15.92     0.00   192949     0.00     0.00  camlOmake_node__kind_3627
  0.00     15.92     0.00   165301     0.00     0.00  camlChar__lowercase_1021
  0.00     15.92     0.00   161781     0.00     0.00  camlOmake_node__core_3616
  0.00     15.92     0.00   142665     0.00     0.00  camlOmake_env__subst_source_core_2587
  0.00     15.92     0.00   142148     0.00     0.00  camlOmake_env__venv_find_var_2110
  0.00     15.92     0.00   142040     0.00     0.00  camlLm_wild__subst_1055
  0.00     15.92     0.00   141264     0.00     0.00  writeblock
  0.00     15.92     0.00   141071     0.00     0.00  camlOmake_eval__fun_4280
  0.00     15.92     0.00   140842     0.00     0.00  writecode8
  0.00     15.92     0.00   139479     0.00     0.00  writecode64
  0.00     15.92     0.00   132136     0.00     0.00  camlOmake_env__venv_intern_2509
  0.00     15.92     0.00   124635     0.00     0.00  camlOmake_env__venv_find_var_dynamic_exn_2089
  0.00     15.92     0.00   124128     0.00     0.00  camlOmake_node__name_3579
  0.00     15.92     0.00   123230     0.00     0.00  camlOmake_env__venv_with_env_2475
  0.00     15.92     0.00   120519     0.00     0.00  caml_hash_mix_uint32
  0.00     15.92     0.00   120517     0.00     0.00  caml_hash_mix_string
  0.00     15.92     0.00   118563     0.00     0.00  camlOmake_build__find_command_1227
  0.00     15.92     0.00   118410     0.00     0.00  camlLexing__engine_1041
  0.00     15.92     0.00   116714     0.00     0.00  camlHashtbl__hash_1010
  0.00     15.92     0.00   116713     0.00     0.00  camlLm_symbol__add_1183
  0.00     15.92     0.00   116713     0.00     0.00  camlLm_symbol__loop_1177
  0.00     15.92     0.00   116237     0.00     0.00  camlLm_symbol__compare_1050
  0.00     15.92     0.00   115795     0.00     0.00  camlLm_location__create_loc_1026
  0.00     15.92     0.00   109800     0.00     0.00  camlOmake_env__fun_4616
  0.00     15.92     0.00   109500     0.00     0.00  camlOmake_ast_lex____ocaml_lex_lex_deps_rec_1259
  0.00     15.92     0.00   109500     0.00     0.00  camlOmake_ast_lex__lex_deps_1258
  0.00     15.92     0.00   109360     0.00     0.00  camlOmake_ir_ast__build_string_1830
  0.00     15.92     0.00   109120     0.00     0.00  camlOmake_env__fun_4562
  0.00     15.92     0.00   107142     0.00     0.00  camlOmake_env__venv_intern_rule_target_2533
  0.00     15.92     0.00   104812     0.00     0.00  caml_leave_blocking_section_default
  0.00     15.92     0.00   103992     0.00     0.00  camlOmake_node__dir_contents_3405
  0.00     15.92     0.00   103992     0.00     0.00  camlOmake_node__flatten_generic_3350
  0.00     15.92     0.00   103992     0.00     0.00  camlOmake_node__path_of_dir_list_3289
  0.00     15.92     0.00   103992     0.00     0.00  camlOmake_node__relocate_generic_3383
  0.00     15.92     0.00   101415     0.00     0.00  camlLm_wild__subst_in_1047
  0.00     15.92     0.00   101415     0.00     0.00  camlOmake_env__fun_4565
  0.00     15.92     0.00    95468     0.00     0.00  camlOmake_cache__compare_1010
  0.00     15.92     0.00    92184     0.00     0.00  camlOmake_eval__eval_var_1161
  0.00     15.92     0.00    91935     0.00     0.00  camlLm_set__new_red_1091
  0.00     15.92     0.00    91814     0.00     0.00  camlOmake_shell_lex__lexer_1143
  0.00     15.92     0.00    83520     0.00     0.00  camlOmake_eval__fun_4184
  0.00     15.92     0.00    81896     0.00     0.00  camlLm_string_util__tokens_create_lexer_1226
  0.00     15.92     0.00    81896     0.00     0.00  camlLm_string_util__tokens_flush_1239
  0.00     15.92     0.00    80886     0.00     0.00  camlOmake_node__cwd_3471
  0.00     15.92     0.00    80882     0.00     0.00  camlOmake_node__fullname_3689
  0.00     15.92     0.00    79550     0.00     0.00  camlOmake_env__fun_4542
  0.00     15.92     0.00    78745     0.00     0.00  camlOmake_eval__collect_1500
  0.00     15.92     0.00    78745     0.00     0.00  camlOmake_eval__values_of_value_1144
  0.00     15.92     0.00    74650     0.00     0.00  caml_stat_alloc
  0.00     15.92     0.00    73909     0.00     0.00  camlLm_position__loc_pos_1064
  0.00     15.92     0.00    73692     0.00     0.00  caml_stat_free
  0.00     15.92     0.00    71845     0.00     0.00  camlOmake_target__fun_1248
  0.00     15.92     0.00    70595     0.00     0.00  camlLm_wild__core_1043
  0.00     15.92     0.00    63836     0.00     0.00  camlOmake_env__venv_find_implicit_rules_3170
  0.00     15.92     0.00    63836     0.00     0.00  camlOmake_target__venv_find_buildable_implicit_rule_bound_1092
  0.00     15.92     0.00    63050     0.00     0.00  camlOmake_rule__fun_2654
  0.00     15.92     0.00    62640     0.00     0.00  camlOmake_cache__stat_unix_inner_2624
  0.00     15.92     0.00    62535     0.00     0.00  camlOmake_cache__exists_inner_2661
  0.00     15.92     0.00    61828     0.00     0.00  camlOmake_env__venv_add_target_is_buildable_1834
  0.00     15.92     0.00    61828     0.00     0.00  camlOmake_target__target_exists_or_is_phony_1043
  0.00     15.92     0.00    61828     0.00     0.00  camlOmake_target__target_exists_or_is_phony_or_is_explicit_1087
  0.00     15.92     0.00    61827     0.00     0.00  camlOmake_cache__stat_unix_node_1694
  0.00     15.92     0.00    61454     0.00     0.00  camlOmake_shell_lex__fun_1392
  0.00     15.92     0.00    61454     0.00     0.00  camlOmake_shell_lex__lex_main_1115
  0.00     15.92     0.00    61203     0.00     0.00  camlOmake_node__always_exists_3635
  0.00     15.92     0.00    60577     0.00     0.00  camlOmake_env__venv_explicit_exists_3044
  0.00     15.92     0.00    60533     0.00     0.00  camlLm_string_util__scan_word_1283
  0.00     15.92     0.00    60533     0.00     0.00  camlLm_string_util__wrap_prefix_1276
